"beta","deepSplit","minModuleSize","mergeCutHeight","n_mods","effD","delta_effD_nMods","globalMedian_mod_cohesion","grey_proportion"
16,3,20,0.25,22,4.80845763772421,17.1915423622758,NA,0
16,3,20,0.3,17,4.66942466723474,12.3305753327653,NA,0
16,3,30,0.15,29,3.92791208225361,25.0720879177464,NA,0
16,3,30,0.2,24,4.0528040362219,19.9471959637781,NA,0
16,3,30,0.25,18,4.14299022712282,13.8570097728772,NA,0
16,3,30,0.3,15,4.27613602171059,10.7238639782894,NA,0
16,3,40,0.15,24,3.68500927848867,20.3149907215113,0.674320162579066,0
16,3,40,0.2,18,3.86529252741102,14.134707472589,NA,0
16,3,40,0.25,15,3.96522046148881,11.0347795385112,NA,0
16,3,40,0.3,14,4.01115011404977,9.98884988595023,NA,0
16,3,50,0.15,20,3.50578396624118,16.4942160337588,0.673131862609317,0
16,3,50,0.2,15,3.74046001339924,11.2595399866008,NA,0
16,3,50,0.25,13,3.80281695233621,9.19718304766379,NA,0
16,3,50,0.3,12,3.84563987392731,8.15436012607269,NA,0
16,3,60,0.15,19,3.53172337018765,15.4682766298124,0.674099389973137,0
16,3,60,0.2,15,3.80976517025043,11.1902348297496,0.632268871381726,0
16,3,60,0.25,13,3.80654709316656,9.19345290683344,NA,0
16,3,60,0.3,12,3.84567812623953,8.15432187376047,NA,0
16,3,70,0.15,14,3.23462796745121,10.7653720325488,0.666328329371702,0
16,3,70,0.2,10,3.46560095150636,6.53439904849364,NA,0
16,3,70,0.25,10,3.46560095150636,6.53439904849364,NA,0
16,3,70,0.3,9,3.50863045240132,5.49136954759867,NA,0
16,3,80,0.15,13,3.02873121488314,9.97126878511686,0.671092293390434,0
16,3,80,0.2,9,3.24670594655114,5.75329405344886,0.619539273812842,0
16,3,80,0.25,9,3.24670594655114,5.75329405344886,0.619539273812842,0
16,3,80,0.3,8,3.32108581304079,4.67891418695921,NA,0
16,3,90,0.15,13,3.02873121488314,9.97126878511686,0.671092293390434,0
16,3,90,0.2,9,3.24670594655114,5.75329405344886,0.619539273812842,0
16,3,90,0.25,9,3.24670594655114,5.75329405344886,0.619539273812842,0
16,3,90,0.3,8,3.32108581304079,4.67891418695921,NA,0
16,3,100,0.15,13,3.02873121488314,9.97126878511686,0.671092293390434,0
16,3,100,0.2,9,3.24670594655114,5.75329405344886,0.619539273812842,0
16,3,100,0.25,9,3.24670594655114,5.75329405344886,0.619539273812842,0
16,3,100,0.3,8,3.32108581304079,4.67891418695921,NA,0
16,4,20,0.15,43,4.51703976063684,38.4829602393632,NA,0
16,4,20,0.2,31,4.77017892225027,26.2298210777497,NA,0
16,4,20,0.25,23,4.89818685082758,18.1018131491724,NA,0
16,4,20,0.3,17,5.061783814127,11.938216185873,NA,0
16,4,30,0.15,29,3.88434896059723,25.1156510394028,NA,0
16,4,30,0.2,24,4.1040679280062,19.8959320719938,NA,0
16,4,30,0.25,18,4.13820324779489,13.8617967522051,NA,0
16,4,30,0.3,14,4.20305680785859,9.79694319214141,NA,0
16,4,40,0.15,24,3.68333011411606,20.3166698858839,NA,0
16,4,40,0.2,19,3.85486970408304,15.145130295917,NA,0
16,4,40,0.25,15,3.9708976547917,11.0291023452083,NA,0
16,4,40,0.3,14,4.01504677569913,9.98495322430087,NA,0
16,4,50,0.15,20,3.504653220646,16.495346779354,0.671965696718204,0
16,4,50,0.2,14,3.81739311050316,10.1826068894968,NA,0
16,4,50,0.25,13,3.80767484196847,9.19232515803153,NA,0
16,4,50,0.3,12,3.84923191661908,8.15076808338092,NA,0
16,4,60,0.15,19,3.52848665453586,15.4715133454641,0.671763677600152,0
16,4,60,0.2,15,3.80523384333604,11.194766156664,0.635879400672462,0
16,4,60,0.25,13,3.80700979088106,9.19299020911894,NA,0
16,4,60,0.3,12,3.84928507881801,8.15071492118198,NA,0
16,4,70,0.15,14,3.23474982989754,10.7652501701025,0.666060893426106,0
16,4,70,0.2,10,3.4630432232418,6.5369567767582,NA,0
16,4,70,0.25,10,3.4630432232418,6.5369567767582,NA,0
16,4,70,0.3,9,3.50699272309842,5.49300727690158,NA,0
16,4,80,0.15,13,3.02702509010954,9.97297490989046,0.667338308590334,0
16,4,80,0.2,9,3.24359656087436,5.75640343912564,NA,0
16,4,80,0.25,9,3.24359656087436,5.75640343912564,NA,0
16,4,80,0.3,8,3.32133431224602,4.67866568775398,NA,0
16,4,90,0.15,13,3.02702509010954,9.97297490989046,0.667338308590334,0
16,4,90,0.2,9,3.24359656087436,5.75640343912564,NA,0
16,4,90,0.25,9,3.24359656087436,5.75640343912564,NA,0
16,4,90,0.3,8,3.32133431224602,4.67866568775398,NA,0
16,4,100,0.15,13,3.02702509010954,9.97297490989046,0.667338308590334,0
16,4,100,0.2,9,3.24359656087436,5.75640343912564,NA,0
16,4,100,0.25,9,3.24359656087436,5.75640343912564,NA,0
16,4,100,0.3,8,3.32133431224602,4.67866568775398,NA,0
18,0,20,0.15,15,3.27895927330175,11.7210407266982,0.703701234262092,0
18,0,20,0.2,11,3.59686062502289,7.40313937497711,NA,0
18,0,20,0.25,10,3.66594225674562,6.33405774325438,NA,0
18,0,20,0.3,10,3.66594225674562,6.33405774325438,NA,0
18,0,30,0.15,13,3.3578600494427,9.6421399505573,0.714752901684805,0
18,0,30,0.2,9,3.75500184954949,5.24499815045051,NA,0
18,0,30,0.25,8,3.87670069739002,4.12329930260998,NA,0
18,0,30,0.3,8,3.87670069739002,4.12329930260998,NA,0
18,0,40,0.15,11,2.89243909792094,8.10756090207905,0.712455257009731,0
18,0,40,0.2,7,3.17340598626701,3.82659401373299,0.689658922861089,0
18,0,40,0.25,6,3.20346976590679,2.79653023409321,NA,0
18,0,40,0.3,6,3.20346976590679,2.79653023409321,NA,0
18,0,50,0.15,11,2.87780338478331,8.12219661521669,0.715382973556482,0
18,0,50,0.2,7,3.1725644742348,3.8274355257652,0.538485907725336,0
18,0,50,0.25,7,3.1725644742348,3.8274355257652,0.538485907725336,0
18,0,50,0.3,6,3.19991857556988,2.80008142443012,NA,0
18,0,60,0.15,11,2.92487129626927,8.07512870373073,0.715382973556482,0
18,0,60,0.2,9,3.01893183836202,5.98106816163798,0.707984714230562,0
18,0,60,0.25,6,3.23702738944186,2.76297261055814,0.538485907725336,0
18,0,60,0.3,6,3.23702738944186,2.76297261055814,0.538485907725336,0
18,0,70,0.15,11,2.92487129626927,8.07512870373073,0.715382973556482,0
18,0,70,0.2,9,3.01893183836202,5.98106816163798,0.707984714230562,0
18,0,70,0.25,6,3.23702738944186,2.76297261055814,0.538485907725336,0
18,0,70,0.3,6,3.23702738944186,2.76297261055814,0.538485907725336,0
18,0,80,0.15,10,2.91941150585877,7.08058849414123,0.712456116308225,0
18,0,80,0.2,9,3.01846776605617,5.98153223394383,0.705041825768249,0
18,0,80,0.25,6,3.23747916302759,2.76252083697241,0.510772534138523,0
18,0,80,0.3,6,3.23747916302759,2.76252083697241,0.510772534138523,0
18,0,90,0.15,10,2.91941150585877,7.08058849414123,0.712456116308225,0
18,0,90,0.2,9,3.01846776605617,5.98153223394383,0.705041825768249,0
18,0,90,0.25,6,3.23747916302759,2.76252083697241,0.510772534138523,0
18,0,90,0.3,6,3.23747916302759,2.76252083697241,0.510772534138523,0
